VehicleID	MaxDelay	AvgDelay	MinDelay	PointsTotal	Points15	Percent15	Points16-30	Percent16-30	Points30	Percent30
---------	--------	--------	--------	-----------	--------	---------	-----------	------------	--------	---------
2-10001	199	11	4	3099	2830	91.319778	256	8.2607288	13	0.41949019
2-10002	20	10	4	615	568	92.357727	47	7.6422768	0	0
2-10005	45	10	3	1660	1570	94.578316	88	5.3012047	2	0.12048193
2-1011	35	10	4	1905	1791	94.015747	113	5.9317584	1	5.2493438E-2
2-10336	36	10	1	3335	3090	92.653671	240	7.1964016	5	0.14992504
2-10337	67	11	4	3667	3354	91.464409	299	8.1538048	14	0.38178346
2-10339	185	11	2	3055	2838	92.896889	184	6.0229135	33	1.0801965
2-10343	66	11	4	1143	1048	91.688538	92	8.0489941	3	0.26246721
2-10345	43	11	4	3151	2872	91.145668	277	8.7908602	2	6.3471913E-2
2-10348	22	10	4	617	583	94.489464	34	5.5105348	0	0
2-10356	100	11	4	3044	2768	90.932983	258	8.4756899	18	0.59132719
2-10359	98	11	4	3583	3308	92.324867	257	7.1727605	18	0.50237232
2-10369	214	29	2	1783	955	53.561413	289	16.208637	539	30.22995
2-10370	33	10	4	3602	3342	92.781792	259	7.1904497	1	2.7762353E-2
2-10375	357	12	4	3033	2745	90.504448	272	8.9680185	16	0.52753049
2-10376	78	11	4	1384	1276	92.196533	104	7.5144506	4	0.28901732
2-10380	150	11	3	1431	1311	91.614258	104	7.2676449	16	1.1180992
2-10383	846	60	2	713	568	79.663399	41	5.7503505	104	14.586255
2-10393	112	11	4	3074	2859	93.005852	194	6.3109956	21	0.68314898
2-10403	1941	342	4	1472	639	43.410324	132	8.967391	701	47.62228
2-10423	286	11	3	3041	2833	93.160149	189	6.2150607	19	0.62479448
2-10454	52	10	4	3528	3284	93.0839	237	6.7176871	7	0.19841272
2-10482	103	11	4	1601	1493	93.254211	94	5.8713307	14	0.87445349
2-10486	279	26	4	344	262	76.162788	37	10.755814	45	13.081396
2-10488	20	10	1	1510	1447	95.827812	63	4.1721854	0	0
2-10489	35	11	4	1979	1836	92.774132	139	7.0237494	4	0.20212229
2-10490	850	47	4	1101	934	84.83197	75	6.8119893	92	8.35604
2-10560	74	10	3	1447	1361	94.056671	83	5.7360058	3	0.20732549
2-10563	70	10	2	1312	1231	93.826225	76	5.7926831	5	0.38109756
2-10567	51	11	4	1709	1552	90.813339	155	9.0696316	2	0.11702751
2-10570	101	11	5	1716	1590	92.657349	117	6.818182	9	0.52447551
2-10577	51	10	4	3392	3161	93.189857	226	6.6627359	5	0.14740567
2-10580	69	10	3	1791	1691	94.416527	95	5.3042994	5	0.27917364
2-10581	178	11	3	566	516	91.166077	42	7.4204946	8	1.4134276
2-10584	80	10	4	3478	3267	93.933296	197	5.6641746	14	0.40253019
2-10594	72	11	2	1135	1060	93.392067	73	6.4317183	2	0.17621146
2-10598	71	11	4	3002	2766	92.13858	227	7.5616255	9	0.29980013
2-10600	58	11	4	2951	2685	90.986107	260	8.8105726	6	0.20332092
2-10611	30	10	2	837	775	92.59259	62	7.4074073	0	0
2-10634	49	11	4	1610	1479	91.86335	128	7.9503102	3	0.1863354
2-10636	78	11	4	2338	2128	91.01796	185	7.912746	25	1.06929
2-10644	90	10	4	3585	3337	93.082283	241	6.7224545	7	0.19525802
2-10647	282	13	4	1507	1331	88.321167	155	10.285335	21	1.393497
2-10671	33	10	3	3075	2887	93.886177	185	6.0162601	3	9.7560972E-2
2-10679	391	37	4	1462	784	53.625172	184	12.5855	494	33.78933
2-10681	77	11	3	3810	3505	91.994751	297	7.7952757	8	0.20997375
2-10682	271	12	4	2740	2477	90.401459	223	8.1386862	40	1.459854
2-10684	183	11	3	1721	1558	90.528763	145	8.425334	18	1.0459036
2-10685	274	13	4	1330	1202	90.375938	105	7.8947363	23	1.7293234
2-10700	1690	215	4	1834	937	51.090515	204	11.123228	693	37.786259
2-10701	70	10	1	3037	2868	94.435295	164	5.4000659	5	0.16463615
2-1074	82	11	4	1381	1282	92.831284	93	6.7342505	6	0.43446776
2-1085	35	10	2	3267	3103	94.980103	163	4.9892869	1	3.0609122E-2
2-11476	93	11	4	2962	2703	91.255913	238	8.0351114	21	0.70898044
2-11704	73	11	3	2757	2564	92.999634	187	6.7827353	6	0.21762785
2-11705	269	11	4	3670	3453	94.087196	187	5.0953679	30	0.81743866
2-1192	97	11	4	1826	1707	93.483025	111	6.0788608	8	0.43811613
2-1236	55	11	4	2961	2716	91.725769	239	8.0715981	6	0.20263426
2-1254	147	10	4	1402	1306	93.152634	94	6.7047076	2	0.14265336
2-132	30	10	2	1451	1349	92.970367	102	7.0296345	0	0
2-1328	813	26	4	1560	1397	89.551285	97	6.2179489	66	4.2307692
2-1341	129	11	4	3372	3124	92.645317	213	6.3167257	35	1.0379597
2-1345	77	10	2	1629	1513	92.879066	107	6.5684466	9	0.55248618
2-1346	55	10	4	1427	1331	93.272606	91	6.3770146	5	0.35038543
2-1347	37	11	4	3343	3094	92.551598	245	7.3287463	4	0.11965301
2-1353	94	11	4	3744	3447	92.067307	254	6.7841878	43	1.1485043
2-1370	77	11	4	1675	1542	92.0597	129	7.7014923	4	0.23880596
2-1379	2506	21	4	1174	1058	90.119247	107	9.1141396	9	0.76660991
2-1381	16	11	5	13	12	92.307693	1	7.6923079	0	0
2-1386	106	11	4	3300	3060	92.727272	211	6.393939	29	0.87878788
2-1395	18338	351	4	2280	2070	90.789474	167	7.3245616	43	1.8859649
2-143	54	10	1	1386	1259	90.836945	122	8.802309	5	0.36075035
2-1431	8821	655	2	2751	2225	80.879684	150	5.4525628	376	13.667758
2-1447	72	10	2	2572	2392	93.001556	176	6.8429241	4	0.15552101
2-1476	44	10	4	1476	1364	92.411926	111	7.5203257	1	6.7750677E-2
2-149	12032	5620	6	689	40	5.8055153	26	3.7735848	623	90.420898
2-1495	52	10	4	1473	1366	92.735909	106	7.1961985	1	6.7888662E-2
2-1503	84	11	3	1529	1392	91.039894	131	8.5676918	6	0.39241332
2-1538	53	11	4	1543	1404	90.991577	135	8.7491903	4	0.25923523
2-1571	26	10	2	1588	1504	94.710327	84	5.2896729	0	0
2-1610	78	10	2	3348	3161	94.414574	180	5.3763442	7	0.20908006
2-1614	872	28	4	1277	1134	88.80188	98	7.6742368	45	3.5238841
2-1622	24	10	4	1615	1504	93.126938	111	6.873065	0	0
2-1624	34	10	4	2214	2084	94.128273	129	5.8265581	1	4.5167118E-2
2-1636	59	10	4	1860	1748	93.978493	105	5.6451612	7	0.37634408
2-1653	30	11	4	1646	1511	91.798302	135	8.2017012	0	0
2-1663	98	10	3	3571	3369	94.343323	190	5.3206387	12	0.33604032
2-1681	28	11	4	1174	1076	91.652473	98	8.3475304	0	0
2-1685	98	11	4	1593	1420	89.139984	164	10.295041	9	0.56497175
2-1687	40	10	0	1412	1324	93.7677	87	6.1614728	1	7.0821531E-2
2-1694	106	11	4	3197	2929	91.617142	260	8.1326246	8	0.2502346
2-1716	76	11	4	2727	2543	93.252655	172	6.3072972	12	0.44004402
2-1723	66	10	1	3204	3028	94.506866	172	5.3682899	4	0.12484394
2-17394	104	11	4	3124	2902	92.893723	206	6.5941105	16	0.51216388
2-17403	35	10	4	1329	1228	92.400299	99	7.4492097	2	0.15048909
2-17405	58	10	1	3056	2827	92.506546	224	7.329843	5	0.16361256
2-17407	78	10	4	3046	2864	94.024948	175	5.7452397	7	0.2298096
2-17440	278	11	4	3180	2952	92.830185	211	6.6352205	17	0.5345912
2-1745	34	10	4	1645	1562	94.954407	82	4.9848022	1	6.0790271E-2
2-17465	25	10	2	648	619	95.524689	29	4.4753084	0	0
2-17468	111	11	4	3205	2919	91.076447	271	8.4555378	15	0.46801871
2-1747	25	10	4	1473	1346	91.378143	127	8.6218605	0	0
2-17496	78	10	4	2955	2745	92.893402	208	7.0389175	2	6.7681894E-2
2-1768	68	11	4	1349	1244	92.216454	100	7.4128985	5	0.37064493
2-1773	33	11	4	3071	2807	91.403458	262	8.5314226	2	6.5125369E-2
2-1779	36	11	4	3325	3062	92.090225	262	7.8796992	1	3.0075189E-2
2-1801	542	28	3	3604	2741	76.054382	327	9.0732527	536	14.872365
2-1802	35	11	4	764	697	91.23037	64	8.3769636	3	0.39267012
2-1803	99	11	4	2811	2606	92.707222	195	6.9370327	10	0.35574529
2-181	96	10	4	3543	3306	93.310753	224	6.3223257	13	0.36692071
2-1830	94	10	2	1471	1391	94.561523	73	4.9626102	7	0.47586676
2-1840	3951	483	3	3608	683	18.930155	138	3.8248339	2787	77.24501
2-1842	113	11	4	2805	2601	92.727272	196	6.9875226	8	0.28520498
2-1846	244	11	4	3223	2965	91.995033	244	7.5705862	14	0.43437794
2-1853	41	11	4	2884	2598	90.083221	284	9.847434	2	6.9348127E-2
2-1860	80	10	2	2891	2705	93.566238	181	6.2608094	5	0.17295054
2-1874	104	11	4	3408	3149	92.400238	225	6.6021128	34	0.99765259
2-188	52	10	4	3629	3386	93.30394	232	6.3929453	11	0.30311382
2-189	119	11	4	1242	1104	88.888893	128	10.305958	10	0.80515295
2-1896	816	15	4	3085	2828	91.669373	232	7.5202594	25	0.81037271
2-1899	1018	37	4	1517	1383	91.166779	52	3.4278181	82	5.4054055
2-1914	71	11	4	3047	2823	92.648506	216	7.0889397	8	0.26255333
2-1918	278	11	4	3676	3385	92.083786	259	7.045702	32	0.87051141
2-193	741	16	4	3253	3021	92.868118	186	5.7177992	46	1.4140793
